# The systematic errors fractions for Swift/BAT per energy channel
# CHAN	SYS_ERR
0 1.0000
1 1.0000
2 0.9960
3 0.1948
4 0.1439
5 0.1063
6 0.0788
7 0.0582
8 0.0400
9 0.0400
10 0.0400
11 0.0400
12 0.0400
13 0.0400
14 0.0400
15 0.0400
16 0.0400
17 0.0400
18 0.0400
19 0.0400
20 0.0400
21 0.0400
22 0.0400
23 0.0400
24 0.0400
25 0.0400
26 0.0400
27 0.0400
28 0.0400
29 0.0400
30 0.0400
31 0.0400
32 0.0400
33 0.0400
34 0.0400
35 0.0400
36 0.0400
37 0.0400
38 0.0400
39 0.0400
40 0.0400
41 0.0400
42 0.0400
43 0.0400
44 0.0400
45 0.0400
46 0.0400
47 0.0400
48 0.0400
49 0.0400
50 0.0400
51 0.0400
52 0.0400
53 0.0400
54 0.0400
55 0.0400
56 0.0400
57 0.0400
58 0.0400
59 0.0400
60 0.0400
61 0.0400
62 0.0400
63 0.0400
64 0.0400
65 0.0400
66 0.0400
67 0.0400
68 0.0400
69 0.0400
70 0.0400
71 0.0400
72 0.0400
73 0.0400
74 0.0400
75 0.0400
76 0.0400
77 0.0400
78 0.0434
79 1.0000
