# Best-fit parameters found from fitting the FRED function from Kocevski et al 2003
# to the distributions of count rate uncertainties observed by Swift/BAT (per energy channel) 
# CHAN	FM	TM	R	D
0 1.4878e-01 1.2947e-03 7.9432e+00 2.6146e+00
1 9.3678e-02 2.1896e-03 8.3243e+00 2.7086e+00
2 7.0840e-02 2.8460e-03 8.1817e+00 2.6436e+00
3 6.7634e-02 2.9340e-03 7.2527e+00 2.7163e+00
4 6.7605e-02 2.9562e-03 7.2319e+00 2.7407e+00
5 6.9218e-02 2.9426e-03 7.5881e+00 2.7471e+00
6 7.0133e-02 2.8420e-03 8.3768e+00 2.5892e+00
7 7.0819e-02 2.7952e-03 8.1793e+00 2.5945e+00
8 7.3431e-02 2.6473e-03 9.1413e+00 2.4621e+00
9 7.9577e-02 2.4413e-03 8.6746e+00 2.5136e+00
10 8.2915e-02 2.2736e-03 8.3343e+00 2.4785e+00
11 9.0377e-02 2.0556e-03 8.3861e+00 2.4497e+00
12 9.5021e-02 1.9550e-03 8.3392e+00 2.4589e+00
13 1.0183e-01 1.7902e-03 9.7078e+00 2.3237e+00
14 1.0368e-01 1.7227e-03 8.1308e+00 2.3973e+00
15 1.0302e-01 1.7409e-03 7.1414e+00 2.5079e+00
16 1.0717e-01 1.6365e-03 8.4186e+00 2.3378e+00
17 1.1308e-01 1.5729e-03 8.8712e+00 2.3378e+00
18 1.1035e-01 1.5954e-03 7.8322e+00 2.3975e+00
19 1.1241e-01 1.4923e-03 8.3462e+00 2.2578e+00
20 1.1663e-01 1.4853e-03 1.0000e+01 2.2221e+00
21 1.2101e-01 1.4563e-03 8.5913e+00 2.3442e+00
22 1.1101e-01 1.5347e-03 6.7964e+00 2.4327e+00
23 1.1340e-01 1.4971e-03 9.4564e+00 2.2115e+00
24 1.2116e-01 1.4675e-03 8.9778e+00 2.3349e+00
25 1.2393e-01 1.4179e-03 7.1341e+00 2.4725e+00
26 1.2537e-01 1.3604e-03 7.8992e+00 2.3334e+00
27 1.2757e-01 1.3407e-03 8.5788e+00 2.2888e+00
28 1.2845e-01 1.3003e-03 8.9523e+00 2.2203e+00
29 1.3972e-01 1.2058e-03 9.0802e+00 2.2345e+00
30 1.3603e-01 1.2619e-03 7.8461e+00 2.3563e+00
31 1.3669e-01 1.2110e-03 7.6709e+00 2.2973e+00
32 1.4604e-01 1.2123e-03 7.6391e+00 2.4455e+00
33 1.4337e-01 1.1617e-03 5.8676e+00 2.5218e+00
34 1.4614e-01 1.1077e-03 6.4809e+00 2.3719e+00
35 1.4795e-01 1.0977e-03 6.7384e+00 2.3504e+00
36 1.5382e-01 1.1147e-03 7.3413e+00 2.4065e+00
37 1.6822e-01 1.0245e-03 8.7639e+00 2.3059e+00
38 1.7302e-01 9.8375e-04 7.2571e+00 2.4040e+00
39 1.7102e-01 9.3789e-04 5.3408e+00 2.5248e+00
40 1.8195e-01 9.1350e-04 6.0688e+00 2.4945e+00
41 1.8636e-01 8.7318e-04 6.3819e+00 2.4045e+00
42 1.9621e-01 8.6521e-04 6.5974e+00 2.4749e+00
43 2.0543e-01 8.3277e-04 7.2423e+00 2.4206e+00
44 1.9533e-01 8.4308e-04 5.4517e+00 2.5750e+00
45 2.0442e-01 8.3057e-04 6.1367e+00 2.5387e+00
46 2.1625e-01 8.2157e-04 6.8888e+00 2.5475e+00
47 2.0749e-01 8.0361e-04 5.5966e+00 2.5821e+00
48 2.0793e-01 7.8098e-04 6.0383e+00 2.4478e+00
49 2.1952e-01 7.6511e-04 5.6550e+00 2.5921e+00
50 2.2016e-01 7.7209e-04 5.9436e+00 2.5737e+00
51 2.1334e-01 7.6158e-04 5.6642e+00 2.5065e+00
52 2.2502e-01 7.5870e-04 5.2206e+00 2.7260e+00
53 2.2565e-01 7.6130e-04 4.9920e+00 2.8018e+00
54 2.3663e-01 7.1647e-04 5.9581e+00 2.5679e+00
55 2.2846e-01 7.1955e-04 4.7359e+00 2.7355e+00
56 2.3016e-01 7.1673e-04 5.0873e+00 2.6589e+00
57 2.3859e-01 7.0223e-04 4.6581e+00 2.8179e+00
58 2.4393e-01 6.9747e-04 5.1687e+00 2.7298e+00
59 2.5357e-01 6.8056e-04 5.7649e+00 2.6481e+00
60 2.4809e-01 6.8111e-04 5.3309e+00 2.6743e+00
61 2.4224e-01 6.8447e-04 4.2725e+00 2.9127e+00
62 2.6347e-01 6.5390e-04 4.9479e+00 2.8242e+00
63 2.5929e-01 6.4985e-04 4.9783e+00 2.7470e+00
64 2.6917e-01 6.2842e-04 5.0999e+00 2.7277e+00
65 2.7320e-01 6.3907e-04 4.6381e+00 2.9644e+00
66 2.7814e-01 6.1347e-04 4.6624e+00 2.8756e+00
67 2.8293e-01 6.1953e-04 4.7162e+00 2.9511e+00
68 2.8839e-01 5.9940e-04 4.7089e+00 2.9041e+00
69 2.9593e-01 5.8877e-04 4.8385e+00 2.8898e+00
70 3.0231e-01 5.7497e-04 4.8491e+00 2.8783e+00
71 2.9095e-01 5.4575e-04 4.6050e+00 2.6700e+00
72 3.2337e-01 5.5780e-04 4.8157e+00 3.0186e+00
73 3.0196e-01 5.6579e-04 3.8416e+00 3.2346e+00
74 2.9993e-01 5.4174e-04 4.0373e+00 2.9355e+00
75 3.1391e-01 5.3225e-04 4.4750e+00 2.8694e+00
76 3.1623e-01 5.5354e-04 3.6386e+00 3.4908e+00
77 3.1091e-01 5.4222e-04 4.0419e+00 3.0738e+00
78 3.1688e-01 5.2481e-04 4.2986e+00 2.9170e+00
79 5.5431e-02 3.9885e-03 8.9601e+00 2.7621e+00
